id	enum	Actividad_Economica	CIIU
80	AUTOSERVICIO ARANA	COMERCIO DE VIVERES Y PRODUCTOS DE LA CANASTA FAMILIAR	G4711
81	ESTANCO DONDE POLITA	EXPENDIO DE BEBIDAS ALCOHOLICAS PARA EL CONSUMO DENTRO DEL ESTABLECIMIENTO	G4711
82	QUINTERO CAMARGO JHON JAIRO	CONSTRUCCIÓN DE OBRAS CIVILES	F4111
83	VIVERES LA MORENITA	COMERCIO DE VIVERES Y PRODUCTOS DE LA CANASTA FAMILIAR	G4711
84	QINTO EMPERADOR	comercio de víveres  insumos agropecuarios y animales vivos  Organización de convenciones y eventos comerciales  Expendio a la mesa de comidas preparadas	G4711
85	SUMINISTROS Y MAQUINARIA RODRIGUEZ	COMERCIO DE VIVERES Y PRODUCTOS DE LA CANASTA FAMILIAR  COMERCIO DE PRODUCTOS AGRICOLAS  ALQUILER Y ARRENDAMIENTO DE MAQUINARIA PESADA Y AGROPECUARIA  CATERING PARA EVENTOS	G4711
86	NARANJA SWEET	1. COMERCIO DE VARIEDADES Y ACCESORIO Y PELUCHERIA  2. COMERCIO AL POR MENOR DE PRENDAS DE VESTIR Y SUS ACCESORIOS 3. COMERCIO AL POR MENOR DE TODO TIPO DE CALZADO	G4719
87	VARIEDADES CHARLOTTE	Comercio al por menor en establecimientos no especializados  con surtido compuesto principalmente por productos diferentes Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedaneos del cuero en establecimientos especializados	G4719
88	DECORACIONES LANDA	SERVICIO DE DECORACIONES  PIÑATERIA  DESAYUNOS SORPRESAS  VENTA DE DETALLES Y COMERCIO DE PAPELERIA.	G4719
89	CACHARRERIA Y VARIEDADES DIANA	COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS  CON SURTIDO COMPUESTO PRINCIPALMENTE POR PRODUCTOS DIFERENTES DE ALIMENTOS (VIVERES EN GENERAL)  BEBIDAS Y TABACO	G4719
90	CACHARRERIA CAMACHO	COMERCIO DE VARIEDADES Y CACHARRERIA	G4719
91	VARIEDADES JANY	COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS	G4719
92	CACHARRERIA Y VARIEDADES EVELING	1. COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS 2. COMERCIO AL POR MENOR DE PRENDAS DE VESTIR Y SUS ACCESORIOS	G4719
93	VARIEDADES  LUPIHOGAR	COMERCIO AL POR MENOR DE PRODUCTOS Y ARTÍCULOS EN GENERAL  ELECTRODOMESTICOS  SERVICIO DE MENSAJERIA.	G4719
94	NUEVA EMPRESA PROMOTORA DE SALUD SA	ACTIVIDADES DE PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA.	O8430
95	SUMINISTROS MIA SALOME	COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS  CON SURTIDO COMPUESTO PRINCIPALMENTE POR PRODUCTOS DIFERENTES DE ALIMENTO  COMERCIO AL POR MENOR DE CARNES  CATERING PARA EVENTOS  TRANSPORTE MIXTO	G4719
96	FRUTOS SAN REY	Comercio al por menor de productos agricolas para el consumo	G4721
97	FRUTAS Y VERDURAS CHARITO	COMERCIO AL POR MENOR DE PRODUCTOS AGRÍCOLAS  FRUTAS Y VERDURAS.	G4721
98	RESTAURANTE LA SAZON DE ISSA	COMERCIO AL POR MENOR DE PRODUCTOS AGRICOLAS PARA EL CONSUMO EN ESTABLECIMIENTOS ESPECIALIZADOS COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS CON SURTIDO COMPUESTO PRINCIPALMENTE POR ALIMENTOS  BEBIDAS O TABACO EXPENDIO A LA MESA DE COMIDAS PREPARADAS	G4721
99	RINCON SANDRA PATRICIA	VENTA DE PRODUCTOS AGRICOLAS	G4721
100	FRUVER LA GRANJITA DE JHOSSHUA	COMERCIO DE FRUTAS Y VERDURAS  VENTA DE VÍVERES Y PRODUCTOS DE LA CANASTA FAMILIAR  COMERCIO DE POLLO	G4721
101	FRUVER IRA TUMARA EL CUARINA	COMERCIO DE FRUTAS Y VERDURAS  COMERCIO DE VÍVERES Y PRODUCTOS DE LA CANASTA FAMILIAR	G4721
102	FRUTAS Y VERDURAS HORTIFRESH	COMERCIO AL POR MENOR DE FRUTAS Y VERDURAS  VENTAS DE PRODUCTOS LACTEOS  HUEVOS  PULPAS  COMERCIO AL POR MENOR DE CARNES Y VIVERES EN GENERAL.	G4721
103	CARNICERIA SIN RIVAL	EXPENDIÓ DE CARNES  AVES DE CORRAL  PRODUCTOS CÁRNICOS  PESCADOS Y PRODUCTOS DE MAR	G4723
104	PROCESADORA Y COMERCIALIZADORA DE CARNE J&M	COMERCIO AL POR MENOR DE CARNES (INCLUYE AVES DE CORRAL) COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS	G4723
105	AGUIRRE MONTAÑEZ WILSON ALIRIO	COMERCIO AL POR MENOR DE CARNES (INCLUYE AVES DE CORRAL)  PRODUCTOS CARNICOS  PESCADOS Y PRODUCTOS DE MAR  EN ESTABLECIMIENTOS ESPECIALIZADOS	G4723
106	CARNICERIA DON PEDRO FRASCO	EXPENDIO DE CARNE  PRODUCTOS CÁRNICOS Y POLLO	G4723
107	PARRA BUITRAGO MEILY ANDREA	COMERCIO DE BEBIDAS HIDRATANTES Y GASEOSAS  EXPENDIÓ DE COMIDAS RÁPIDAS	G4724
108	KACIKE	COMERCIO AL POR MENOR DE BEBIDAS ALCOHÓLICAS Y NO ALCOHÓLICAS.	G4724
109	BILLAR CLUB LA QUINTA Y FUENTE SODA	COMERCIO AL POR MENOR DE BEBIDAS Y PRODUCTOS DEL TABACO  EN ESTABLECIMIENTOS ESPECIALIZADOS	G4724
110	ESTACION DE SERVICIO BRISAS DEL BOJABA SAS	COMERCIO DE COMBUSTIBLES  TRANSPORTE POR CARRETERA  COMERCIO DE LUBRICANTES.	G4731
111	EDS DAYANA	COMERCIO AL POR MENOR DE COMBUSTIBLES PARA AUTOMOTORES  COMERCIO AL POR MENOR DE LUBRICANTES  ACEITES  GRASAS  ADITIVOS Y PRODUCTOS DE LIMPIEZA PARA VEHÍCULOS AUTOMOTORES A TRAVÉS DE UNA ESTACIÓN DE SERVICIO AUTOMOTRIZ	G4731
112	ESTACION DE SERVICIO CAMPO HERMOSO	COMERCIO AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES POR MEDIO DE UNA ESTACION DE SERVICIO  COMERCIO AL POR MENOR DE LUBRICANTES ACEITES  GRASAS PARA VEHICULOS AUTOMOTORES  TRANSPORTE DE CARGA POR CARRETERA	G4731
113	EDS DAYANA SAS	COMERCIO DE COMBUSTIBLES.	G4731
114	DISTRIBUELECTRA	COMERCIO DE COMPUTADORES  EQUIPOS PERIFÉRICOS  PROGRAMAS DE INFORMÁTICA Y EQUIPOS DE TELECOMUNICACIONES  SERVICIO DE MANTENIMIENTO Y REPARACIÓN DE COMPUTADORES Y EQUIPOS DE COMUNICACIÓN	G4741
115	CONEXIONES NAY	COMERCIO DE EQUIPOS  Y ACCESORIOS TELEFÓNICOS  VENTA DE RECARGAS  SERVICIO DE GIROS  APUESTAS Y ENTREGA DE MENSAJERÍA	G4741
116	COMFACEL MULTISERVICIOS CUBARA	COMERCIO AL POR MENOR DE COMPUTADORES  EQUIPOS PERIFERICOS ACTIVIDADES DE TELECOMUNICACIONES INALAMBRICAS	G4741
117	CONSTRUCUBARA	COMERCIO AL POR MENOR DE ARTÍCULOS DE FERRETERÍA  COMERCIO AL POR MAYOR DE MATERIALES DE CONSTRUCCIÓN  ARTÍCULOS DE FERRETERÍA  PINTURAS  PRODUCTOS DE VIDRIO  EQUIPO Y MATERIALES DE FONTANERÍA  COMERCIO DE PRENDAS DE VESTIR Y SUS ACCESORIOS	G4752
118	BRING MARKETS	COMERCIALIZACIóN Y VENTA DE PRODUCTOS MISCELáNEOS  COMPLEMENTARIOS PARA EL TRABAJO EN EL CAMPO   EN  OFICINAS Y  HOGAR   ASí COMO ARTíCULOS DE FERRETERíA  HERRAMIENTAS  ARTíCULOS DEPORTIVOS   PRENDAS DE VESTIR  Y CALZADO. COMPUTADORES  IMPRESORAS Y EQUIPOS PERIFERICOS	G4752
119	FERRETERIA Y VETERINARIA MOGOSAN	COMERCIO AL POR MENOR DE ARTICULOS DE FERRETERIA	G4752
120	CASTRO IBAÑEZ LUIS DIUDICEL	1. COMERCIO AL POR MENOR DE ELECTRODOMESTICOS Y GASODOMESTICOS DE USO DOMESTICO  MUEBLES Y EQUIPOS DE ILUMINACION 2. CONSTRUCCION DE EDIFICIOS RESIDENCIALES 3. COMERCIO AL POR MAYOR A CAMBIO DE UNA RETRIBUCION O POR CONTRATA 4. MANTENIMIENTO Y REPARACION DE OTROS EFECTOS PERSONALES Y ENSERES DOMESTICOS	G4754
121	ELECTRODOMESTICOS Y MUEBLERIA YEMAT	COMERCIO DE TODO TIPO DE ELECTRODOMESTICOS Y MUEBLERIA EN GENERAL	G4754
122	ALMACEN Y VARIEDADES BRAYAN FRAIBELYS	COMERCIO POR MENOR PRENDAS DE VESTIR  ACCESORIOS PARA DAMA Y ARTÍCULOS PARA EL HOGAR EN GENERAL.	G4759
123	VETERINARIA AGROJAIMES	COMERCIO AL POR MENOR DE PRODUCTOS E INSUMOS VETERINARIOS  Y ACTIVIDADES VETERINARIAS.	G4773
124	LEITO`S UN MUNDO DE DETALLES	COMERCIO AL POR MENOR DE OTROS ARTICULOS DOMESTICOS EN ESTABLECIMIENTOS ESPECIALIZADOS COMERCIO AL POR MENOR DE PRENDAS DE VESTIR Y SUS ACCESORIOS (INCLUYE ARTICULOS DE PIEL) EN ESTABLECIMIENTOS ESPECIALIZADOS	G4759
125	DOMOPLAST	COMERCIO AL POR MENOR DE OTROS ARTICULOS DOMESTICOS EN ESTABLECIMIENTOS ESPECIALIZADOS  ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS	G4759
126	MORA BUITRAGO CAMILA NIZAYETH	COMERCIO AL POR MENOR DE ARTÍCULOS DE FERRETERÍA  COMERCIO DE UTENSILIOS DOMESTICOS  COMERCIO AL POR MENOR DE EQUIPOS DE INFORMÁTICA  COMERCIO AL POR MENOR DE ARTÍCULOS DE PAPELERÍA.	G4759
127	VITTALY HOGAR	1. COMERCIO DE PRODUCTOS DE ASEO  TODO PARA EL HOGAR 2. COMERCIO DE PRODUCTOS DESECHABLES 4. COMERCIO DE YOGUR  KUMIS	G4759
128	QUIMICOS LEON	COMERCIALIZACION AL POR MENOR DE PRODUCTOS DE ASEO Y DOMESTICOS	G4759
129	VARIEDADES DIMALE	COMERCIO DE LIBROS  PERIODICOS  MATERIALES Y ARTICULOS DE PAPELERIA  COMERCIO DE PRENDAS DE VESTIR Y SUS ACCESORIOS  COMERCIO DE TODO TIPO DE CALZADO Y ARTICULOS DE CUERO	G4761
